UserID,SessionID,TitleID,Title,Genres,IsSeries,Season,EpisodeNumber,FullContentDurationSeconds,WatchStart,WatchEnd,WatchDurationSeconds,EventType,Device,Country,Rating,WatchDuration,WatchHours,BingeFlag
U0001,U0001_S001,T0143,Horror Title 143,Horror,True,2.0,3.0,2460,2025-06-16 06:48:32,2025-06-16 07:14:36,1564,partial,Game Console,IN,3.5,26.066666666666666,0.43444444444444447,False
U0001,U0001_S002,T0277,Romance Title 277,Romance,False,,,6720,2025-08-02 22:34:19,2025-08-02 23:26:59,3160,partial,Game Console,US,,52.666666666666664,0.8777777777777778,False
U0001,U0001_S003,T0053,Sci-Fi Title 53,Sci-Fi,True,4.0,1.0,2880,2025-04-01 11:09:43,2025-04-01 11:19:57,614,partial,Smart TV,US,,10.233333333333333,0.17055555555555554,False
U0001,U0001_S003,T0282,Animation Title 282,Animation,True,3.0,7.0,1080,2025-04-01 11:24:16,2025-04-01 11:30:38,382,partial,Web,CA,,6.366666666666666,0.10611111111111111,False
U0001,U0001_S003,T0299,Horror Title 299,Horror|Drama,True,1.0,4.0,1800,2025-04-01 11:39:29,2025-04-01 12:03:35,1446,partial,Smart TV,AU,,24.1,0.40166666666666667,False
U0001,U0001_S004,T0054,Thriller Title 54,Thriller|Sci-Fi,False,,,7020,2025-05-28 12:07:54,2025-05-28 13:02:20,3266,partial,Mobile,MX,,54.43333333333333,0.9072222222222223,False
U0001,U0001_S004,T0209,Action Title 209,Action,False,,,4800,2025-05-28 13:11:04,2025-05-28 14:25:18,4454,complete,Tablet,DE,,74.23333333333333,1.2372222222222222,False
U0002,U0002_S001,T0097,Documentary Title 97,Documentary,False,,,7380,2025-07-22 17:46:54,2025-07-22 18:12:37,1543,partial,Tablet,IN,,25.716666666666665,0.4286111111111111,False
U0002,U0002_S001,T0207,Documentary Title 207,Documentary,True,1.0,12.0,2880,2025-07-22 18:22:01,2025-07-22 18:30:10,489,partial,Mobile,US,,8.15,0.13583333333333333,False
U0003,U0003_S001,T0041,Thriller Title 41,Thriller,True,1.0,6.0,1260,2025-04-06 04:31:08,2025-04-06 04:46:27,919,partial,Tablet,MX,,15.316666666666666,0.25527777777777777,False
U0003,U0003_S002,T0165,Comedy Title 165,Comedy,True,3.0,12.0,1500,2025-04-29 05:12:53,2025-04-29 05:29:05,972,partial,Smart TV,US,4.2,16.2,0.27,False
U0004,U0004_S001,T0216,Action Title 216,Action|Romance,False,,,6780,2025-02-20 15:10:56,2025-02-20 15:36:16,1520,partial,Smart TV,DE,3.5,25.333333333333332,0.4222222222222222,False
U0004,U0004_S002,T0143,Horror Title 143,Horror,True,4.0,6.0,2460,2025-04-23 03:31:12,2025-04-23 03:57:16,1564,partial,Mobile,IN,2.8,26.066666666666666,0.43444444444444447,False
U0004,U0004_S003,T0251,Drama Title 251,Drama,False,,,6180,2025-02-25 16:30:23,2025-02-25 17:35:38,3915,partial,Tablet,US,,65.25,1.0875,False
U0004,U0004_S004,T0187,Thriller Title 187,Thriller,True,1.0,4.0,2100,2025-07-23 10:22:55,2025-07-23 10:51:44,1729,partial,Game Console,US,3.5,28.816666666666666,0.4802777777777778,False
U0004,U0004_S005,T0025,Romance Title 25,Romance,False,,,6480,2025-04-16 04:23:17,2025-04-16 04:39:26,969,partial,Web,UK,3.9,16.15,0.26916666666666667,False
U0004,U0004_S005,T0164,Sci-Fi Title 164,Sci-Fi,False,,,6480,2025-04-16 04:47:07,2025-04-16 05:27:04,2397,partial,Game Console,DE,4.2,39.95,0.6658333333333334,False
U0004,U0004_S005,T0235,Family Title 235,Family,True,3.0,10.0,1500,2025-04-16 05:35:26,2025-04-16 05:58:11,1365,complete,Smart TV,UK,,22.75,0.37916666666666665,False
U0005,U0005_S001,T0199,Drama Title 199,Drama,True,1.0,11.0,1080,2025-04-07 22:17:24,2025-04-07 22:33:59,995,complete,Smart TV,US,3.3,16.583333333333332,0.2763888888888889,False
